id,label,node_type,strain_id,module_id,entity_class,identifier,description,source_url
strain:gmet_gs15,Geobacter metallireducens GS-15,strain,gmet_gs15,,organism,NC_007517,Fe(III)-reducing anaerobe with broad aromatic compound metabolism and metal reduction capability,https://pmc.ncbi.nlm.nih.gov/articles/PMC2700814/
strain:gsu_pca,Geobacter sulfurreducens PCA,strain,gsu_pca,,organism,KEGG:gsi/gsu,Model electroactive Geobacter strain with extensive extracellular electron-transfer and metal-reduction machinery,https://pmc.ncbi.nlm.nih.gov/articles/PMC5585712/
strain:glov_sz,Geobacter lovleyi strain SZ,strain,glov_sz,,organism,,Metal-reducing and tetrachloroethene/trichloroethene-dechlorinating Geobacter species,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/
strain:geo_iae,Geobacter sp. strain IAE,strain,geo_iae,,organism,GenBank:MW990083,"Enrichment-derived Geobacter population linked to 1,2-DCA and 1,1,2-TCA dihaloelimination",https://www.osti.gov/servlets/purl/1860551
module:gmet_aromatics,GS-15 anaerobic aromatics module,module,gmet_gs15,gmet_aromatics,pathway_module,,Aromatic and phenolic compound activation to benzoyl-CoA and downstream anaerobic ring reduction,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/
module:gmet_arsenic,GS-15 arsenic module,module,gmet_gs15,gmet_arsenic,pathway_module,,Arsenic detoxification and predicted arsenite methylation capacity,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/
module:gsu_arsenic,PCA arsenic detoxification module,module,gsu_pca,gsu_arsenic,pathway_module,,Experimentally supported ars operon regulating arsenate reduction and arsenite efflux,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/
module:gsu_metal_redox,PCA extracellular metal-redox module,module,gsu_pca,gsu_metal_redox,pathway_module,,Cytochrome-mediated reduction of soluble and extracellular metals,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full
module:glov_organochlorine,SZ organochlorine module,module,glov_sz,glov_organochlorine,pathway_module,,Phenotype-supported chlororespiration of PCE and TCE to cis-DCE,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/
module:geo_iae_organochlorine,IAE chlorinated ethane module,module,geo_iae,geo_iae_organochlorine,pathway_module,,Population-dynamics-supported dihaloelimination of chlorinated ethanes,https://www.osti.gov/servlets/purl/1860551
gene:gmet_bsscab,Gmet_1538-Gmet_1540 bssCAB,gene,gmet_gs15,gmet_aromatics,enzyme_cluster,Gmet_1538-Gmet_1540,Benzylsuccinate synthase cluster for anaerobic toluene activation,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/
gene:gmet_bbsabcd,Gmet_1528-Gmet_1531 bbsABCD,gene,gmet_gs15,gmet_aromatics,enzyme_cluster,Gmet_1528-Gmet_1531,Benzylsuccinate oxidation cluster downstream of toluene activation,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/
